data_datetime;Feature 1;Feature 2;Feature 3;Feature 4;Feature 5;Feature 6
2023-05-08 14:46:00+00:00;100;20.7296028;0;127.966026;21.491991;17.32587238
2023-05-08 14:56:00+00:00;77.49945;20.6033363;110267.336;123.979095;21.66;304.6418947
2023-05-08 15:06:00+00:00;80.83443;20.4072952;127229.281;124.494514;21.5531864;285.4431083
2023-05-08 15:16:00+00:00;85.45602;17.63915;105579.047;124.662605;21.88252;235.9493825
2023-05-08 15:26:00+00:00;82.6875;17.075;130475.133;124.246964;18.5171261;334.9630102
2023-05-08 15:36:00+00:00;83.79248;13.863678;139062.109;124.500458;16.9634552;332.3286681
2023-05-08 15:46:00+00:00;67.7346954;16.72992;119325.4;120.965874;18.1633167;301.443236
2023-05-08 15:56:00+00:00;21.33044;22.6367989;55724.62;110.83429;20.8657665;325.2494968
2023-05-08 16:06:00+00:00;15.7288065;29.9176674;31051.3555;109.966705;25.3466377;272.5455696
2023-05-08 16:16:00+00:00;13.34375;31.3837357;22993.8848;109.200005;26.8265686;297.2392318
2023-05-08 16:26:00+00:00;11.673069;31.9222984;9289.121;108.666534;27.4232674;250.9015866
2023-05-08 16:36:00+00:00;11.861639;33.580925;18534.09;108.5;28.93;273.0251431
2023-05-08 16:46:00+00:00;13.3415079;32.65689;17273.623;108.947014;29.5494022;214.3492573
2023-05-08 16:56:00+00:00;16.54609;24.9352627;29991.3633;109.526642;27.3513489;233.7296344
2023-05-08 17:06:00+00:00;11.16368;33.3948135;12053.7744;108.4;28.5360012;254.664309
2023-05-08 17:16:00+00:00;11.2549877;38.7474136;11323.9512;108.4;30.4279957;276.661875
2023-05-08 17:26:00+00:00;13.2654724;35.67632;25878.2344;108.853355;31.4973469;229.5917353
2023-05-08 17:36:00+00:00;12.7394819;38.8508377;20597.9551;108.673615;32.9211121;239.4717214
2023-05-08 17:46:00+00:00;12.354538;39.27047;20880.666;108.773537;33.74265;243.0122222
